Timestamp,accelX,accelY,accelZ,gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads)
09-Sep-2020 10:51:06.766, 0.5051, 0.0234,-1.1623,-0.3697, 0.1625,-0.0582,-0.0872, 0.2881,-2.9703
09-Sep-2020 10:51:06.772, 0.5186, 0.0522,-1.2542,-0.2470,-0.1722,-0.0426, 0.4405,-0.0197, 0.3153
09-Sep-2020 10:51:06.782, 0.5399, 0.0479,-1.2612,-0.0745,-0.3200, 0.0351, 0.4389,-0.0220, 0.3160
09-Sep-2020 10:51:06.792, 0.5530, 0.0603,-1.2297, 0.1050,-0.2678, 0.1452, 0.4358,-0.0224, 0.3167
09-Sep-2020 10:51:06.802, 0.5369, 0.0863,-1.1733, 0.2352,-0.0698, 0.2079, 0.4333,-0.0208, 0.3176
09-Sep-2020 10:51:06.815, 0.5515, 0.0554,-1.1352, 0.2796, 0.1072, 0.2731, 0.4339,-0.0141, 0.3199
09-Sep-2020 10:51:06.822, 0.5622, 0.0127,-1.0772, 0.3082, 0.4921, 0.3272, 0.4339,-0.0141, 0.3199
09-Sep-2020 10:51:06.832, 0.5760,-0.0253,-1.1407, 0.3660, 0.7748, 0.3371, 0.4387,-0.0099, 0.3216
09-Sep-2020 10:51:06.842, 0.5888,-0.0628,-1.1983, 0.4191, 0.8959, 0.2785, 0.4463,-0.0051, 0.3231
09-Sep-2020 10:51:06.852, 0.6134,-0.0646,-1.2359, 0.2215, 0.5638, 0.1538, 0.4550,-0.0003, 0.3238
09-Sep-2020 10:51:06.862, 0.6180,-0.0237,-1.1421,-0.0827, 0.2301, 0.0554, 0.4606, 0.0024, 0.3243
09-Sep-2020 10:51:06.872, 0.6495, 0.0095,-1.0717,-0.2568, 0.2052, 0.0464, 0.4631, 0.0021, 0.3252
09-Sep-2020 10:51:06.881, 0.6845, 0.0257,-1.0727,-0.2970, 0.2612, 0.1686, 0.4653, 0.0002, 0.3269
09-Sep-2020 10:51:06.892, 0.6622, 0.0633,-1.0459,-0.3167, 0.2512, 0.3409, 0.4678,-0.0016, 0.3298
09-Sep-2020 10:51:06.901, 0.6173, 0.0664,-1.0153,-0.2882, 0.1843, 0.5523, 0.4703,-0.0028, 0.3343
09-Sep-2020 10:51:06.911, 0.5806, 0.0534,-0.9849,-0.1911, 0.0958, 0.7480, 0.4721,-0.0027, 0.3405
09-Sep-2020 10:51:06.921, 0.5424, 0.0605,-0.9486,-0.1033,-0.0278, 0.9614, 0.4730,-0.0010, 0.3481
09-Sep-2020 10:51:06.932, 0.5608, 0.0612,-0.9569,-0.0520,-0.2007, 1.0872, 0.4727, 0.0025, 0.3571
09-Sep-2020 10:51:06.941, 0.5616, 0.0301,-0.9276, 0.0131,-0.2580, 1.1151, 0.4707, 0.0070, 0.3669
09-Sep-2020 10:51:06.951, 0.5266,-0.0007,-0.8999, 0.0494,-0.2882, 1.1051, 0.4681, 0.0122, 0.3768
09-Sep-2020 10:51:06.961, 0.4868,-0.0338,-0.9176, 0.0545,-0.3409, 1.0775, 0.4650, 0.0176, 0.3864
09-Sep-2020 10:51:06.971, 0.4411,-0.0502,-0.9162, 0.0179,-0.3974, 1.0152, 0.4614, 0.0229, 0.3959
09-Sep-2020 10:51:06.981, 0.3829,-0.0358,-0.8690,-0.0933,-0.3567, 0.8518, 0.4573, 0.0275, 0.4048
09-Sep-2020 10:51:06.991, 0.3300,-0.0045,-0.8123,-0.2761,-0.2683, 0.5719, 0.4535, 0.0304, 0.4129
09-Sep-2020 10:51:07.001, 0.3232,-0.0018,-0.7429,-0.5085, 0.0123, 0.2846, 0.4508, 0.0305, 0.4193
09-Sep-2020 10:51:07.011, 0.3064,-0.0125,-0.7066,-0.7780, 0.3306, 0.0656, 0.4508, 0.0272, 0.4241
09-Sep-2020 10:51:07.021, 0.3597,-0.0144,-0.7628,-1.0386, 0.3754,-0.0887, 0.4538, 0.0206, 0.4282
09-Sep-2020 10:51:07.031, 0.4238,-0.0255,-0.8116,-1.1755, 0.2553,-0.1449, 0.4574, 0.0111, 0.4320
09-Sep-2020 10:51:07.041, 0.4344,-0.0458,-0.8121,-1.0831, 0.3068,-0.0805, 0.4599, 0.0002, 0.4359
09-Sep-2020 10:51:07.051, 0.3861,-0.0295,-0.8283,-0.6826, 0.5552,-0.0051, 0.4631,-0.0095, 0.4400
09-Sep-2020 10:51:07.061, 0.3078, 0.0183,-0.9227,-0.2318, 0.3277, 0.0427, 0.4683,-0.0155, 0.4430
09-Sep-2020 10:51:07.071, 0.3008, 0.0759,-0.9272, 0.1437, 0.0572,-0.0052, 0.4714,-0.0173, 0.4444
09-Sep-2020 10:51:07.080, 0.2929, 0.1086,-0.8607, 0.2888,-0.2322,-0.1543, 0.4721,-0.0162, 0.4438
09-Sep-2020 10:51:07.091, 0.2701, 0.0752,-0.8724, 0.4174,-1.0286,-0.2093, 0.4695,-0.0143, 0.4412
09-Sep-2020 10:51:07.100, 0.2737, 0.0203,-0.9196, 0.6422,-2.1434,-0.1212, 0.4589,-0.0113, 0.4376
09-Sep-2020 10:51:07.110, 0.3298,-0.0672,-0.9270, 0.9243,-3.1682, 0.0573, 0.4376,-0.0060, 0.4338
09-Sep-2020 10:51:07.120, 0.3495,-0.1032,-0.7771, 1.1295,-3.7164, 0.2343, 0.4064, 0.0027, 0.4307
09-Sep-2020 10:51:07.130, 0.2986,-0.0758,-0.6460, 1.1809,-3.8559, 0.3221, 0.3696, 0.0139, 0.4286
09-Sep-2020 10:51:07.140, 0.2355,-0.0396,-0.6008, 1.0712,-3.6877, 0.2872, 0.3315, 0.0260, 0.4276
09-Sep-2020 10:51:07.150, 0.1979, 0.0054,-0.5911, 0.8661,-3.2486, 0.1597, 0.2950, 0.0370, 0.4271
09-Sep-2020 10:51:07.161, 0.1745, 0.0452,-0.6133, 0.6199,-2.6188,-0.0172, 0.2628, 0.0457, 0.4263
09-Sep-2020 10:51:07.170, 0.1515, 0.0385,-0.6430, 0.4225,-1.8553,-0.1939, 0.2368, 0.0517, 0.4246
09-Sep-2020 10:51:07.180, 0.1210, 0.0149,-0.6551, 0.3187,-1.0001,-0.3484, 0.2186, 0.0555, 0.4219
09-Sep-2020 10:51:07.190, 0.0683,-0.0024,-0.6985, 0.2965,-0.2415,-0.5112, 0.2088, 0.0579, 0.4178
09-Sep-2020 10:51:07.200, 0.0646, 0.0007,-0.8002, 0.3485, 0.0704,-0.5742, 0.2064, 0.0599, 0.4124
09-Sep-2020 10:51:07.210, 0.0973,-0.0871,-0.9071, 0.3118,-0.0106,-0.5430, 0.2074, 0.0620, 0.4062
09-Sep-2020 10:51:07.220, 0.1569,-0.1428,-0.9603, 0.2898,-0.2602,-0.4146, 0.2076, 0.0640, 0.4004
09-Sep-2020 10:51:07.230, 0.1997,-0.0881,-0.9760, 0.3742,-0.5780,-0.2565, 0.2052, 0.0661, 0.3958
09-Sep-2020 10:51:07.240, 0.1965,-0.0305,-1.0177, 0.4759,-0.9024,-0.1292, 0.1996, 0.0693, 0.3926
09-Sep-2020 10:51:07.250, 0.1752,-0.0170,-1.0562, 0.6323,-1.0932,-0.0003, 0.1909, 0.0738, 0.3905
09-Sep-2020 10:51:07.260, 0.1268,-0.0081,-1.1247, 0.8301,-1.3163, 0.1206, 0.1800, 0.0801, 0.3894
09-Sep-2020 10:51:07.270, 0.0618,-0.0163,-1.1262, 0.8766,-1.4627, 0.1049, 0.1669, 0.0883, 0.3891
09-Sep-2020 10:51:07.280, 0.0157,-0.0383,-1.0337, 0.7180,-1.4135,-0.0659, 0.1525, 0.0970, 0.3888
09-Sep-2020 10:51:07.290,-0.0017,-0.0468,-0.9180, 0.3412,-1.2237,-0.2651, 0.1387, 0.1039, 0.3871
09-Sep-2020 10:51:07.300, 0.0171,-0.0886,-0.9392,-0.0599,-1.0170,-0.3631, 0.1269, 0.1070, 0.3842
09-Sep-2020 10:51:07.310, 0.0136,-0.1009,-1.0409,-0.3451,-0.9225,-0.3775, 0.1170, 0.1061, 0.3808
09-Sep-2020 10:51:07.319,-0.0208,-0.0839,-1.1157,-0.4743,-0.9012,-0.3943, 0.1081, 0.1024, 0.3774
09-Sep-2020 10:51:07.329,-0.0617,-0.0711,-1.1620,-0.4806,-0.9645,-0.4505, 0.0994, 0.0974, 0.3740
09-Sep-2020 10:51:07.339,-0.0935,-0.0615,-1.2140,-0.3907,-1.0963,-0.5596, 0.0902, 0.0923, 0.3700
09-Sep-2020 10:51:07.350,-0.1135,-0.0378,-1.2412,-0.2562,-1.2366,-0.7126, 0.0797, 0.0880, 0.3649
09-Sep-2020 10:51:07.359,-0.1418,-0.0151,-1.2568,-0.1181,-1.3584,-0.8843, 0.0680, 0.0850, 0.3580
09-Sep-2020 10:51:07.369,-0.1736, 0.0014,-1.2578,-0.0225,-1.4325,-1.0556, 0.0552, 0.0833, 0.3493
09-Sep-2020 10:51:07.379,-0.1866, 0.0420,-1.2026,-0.0149,-1.3440,-1.2127, 0.0419, 0.0825, 0.3389
09-Sep-2020 10:51:07.389,-0.2083, 0.0701,-1.1194,-0.2240,-0.6620,-1.2340, 0.0300, 0.0818, 0.3270
09-Sep-2020 10:51:07.399,-0.2042, 0.0620,-1.1138,-0.3205,-0.1342,-1.0844, 0.0242, 0.0794, 0.3149
09-Sep-2020 10:51:07.409,-0.1496, 0.0066,-1.1067,-0.3470, 0.2559,-0.8026, 0.0236, 0.0760, 0.3044
09-Sep-2020 10:51:07.419,-0.1116, 0.0096,-1.1402,-0.3375, 0.1983,-0.4976, 0.0264, 0.0724, 0.2965
09-Sep-2020 10:51:07.429,-0.0930, 0.0121,-1.1877,-0.3432,-0.1165,-0.2123, 0.0286, 0.0690, 0.2917
09-Sep-2020 10:51:07.439,-0.1170,-0.0121,-1.2280,-0.2651,-0.4740,-0.0103, 0.0275, 0.0656, 0.2897
09-Sep-2020 10:51:07.449,-0.1794,-0.0028,-1.2478,-0.1231,-0.7844, 0.1241, 0.0228, 0.0630, 0.2897
09-Sep-2020 10:51:07.459,-0.2312, 0.0275,-1.2320, 0.0231,-1.0307, 0.2000, 0.0150, 0.0619, 0.2910
09-Sep-2020 10:51:07.469,-0.2503, 0.0694,-1.1480, 0.1224,-1.1464, 0.1625, 0.0046, 0.0621, 0.2930
09-Sep-2020 10:51:07.479,-0.2464, 0.0957,-1.0437, 0.1311,-1.0883, 0.0625,-0.0068, 0.0633, 0.2947
09-Sep-2020 10:51:07.489,-0.2124, 0.0892,-0.9810, 0.0726,-0.9661,-0.0021,-0.0176, 0.0646, 0.2954
09-Sep-2020 10:51:07.499,-0.1675, 0.0694,-0.9311, 0.0154,-0.7474,-0.0046,-0.0272, 0.0654, 0.2955
09-Sep-2020 10:51:07.509,-0.1474, 0.0523,-0.8678,-0.0402,-0.4028, 0.0291,-0.0346, 0.0655, 0.2956
09-Sep-2020 10:51:07.519,-0.1626, 0.0417,-0.8084,-0.1307, 0.0051, 0.0544,-0.0386, 0.0651, 0.2960
09-Sep-2020 10:51:07.529,-0.1950, 0.0070,-0.7932,-0.2412, 0.3440, 0.0462,-0.0386, 0.0638, 0.2965
09-Sep-2020 10:51:07.539,-0.2319,-0.0411,-0.8273,-0.3038, 0.5155, 0.0030,-0.0354, 0.0615, 0.2969
09-Sep-2020 10:51:07.548,-0.2749,-0.0643,-0.8869,-0.2802, 0.5314,-0.0995,-0.0304, 0.0585, 0.2969
09-Sep-2020 10:51:07.558,-0.3012,-0.0611,-0.9328,-0.1511, 0.4291,-0.2555,-0.0251, 0.0558, 0.2959
09-Sep-2020 10:51:07.568,-0.2752,-0.0420,-0.9008, 0.0292, 0.3092,-0.4420,-0.0207, 0.0545, 0.2934
09-Sep-2020 10:51:07.578,-0.2137,-0.0214,-0.8383, 0.2294, 0.3673,-0.6491,-0.0173, 0.0549, 0.2890
09-Sep-2020 10:51:07.588,-0.1384,-0.0303,-0.7906, 0.3936, 0.6786,-0.8451,-0.0132, 0.0573, 0.2827
09-Sep-2020 10:51:07.598,-0.0986,-0.0515,-0.8093, 0.4879, 0.9179,-0.9883,-0.0060, 0.0613, 0.2744
09-Sep-2020 10:51:07.608,-0.0895,-0.0474,-0.8549, 0.5698, 0.9882,-1.0816, 0.0036, 0.0662, 0.2646
09-Sep-2020 10:51:07.618,-0.0808,-0.0274,-0.8797, 0.6616, 0.9377,-1.1482, 0.0141, 0.0718, 0.2539
09-Sep-2020 10:51:07.628,-0.0529,-0.0663,-0.9342, 0.6681, 0.4298,-1.2220, 0.0238, 0.0781, 0.2424
09-Sep-2020 10:51:07.638,-0.0388,-0.1098,-0.8982, 0.6255,-0.1532,-1.3201, 0.0290, 0.0844, 0.2300
09-Sep-2020 10:51:07.648,-0.0421,-0.1053,-0.9127, 0.6269,-0.6790,-1.4846, 0.0287, 0.0903, 0.2167
09-Sep-2020 10:51:07.658,-0.0588,-0.0911,-0.9313, 0.6631,-1.1510,-1.6772, 0.0233, 0.0962, 0.2018
09-Sep-2020 10:51:07.668,-0.0897,-0.0871,-0.9524, 0.6858,-1.5327,-1.8037, 0.0135, 0.1025, 0.1850
09-Sep-2020 10:51:07.678,-0.0701,-0.0896,-0.8982, 0.7548,-1.5282,-1.8206, 0.0004, 0.1093, 0.1670
09-Sep-2020 10:51:07.688,-0.0685,-0.0554,-0.8448, 0.8240,-1.1269,-1.7829,-0.0125, 0.1170, 0.1490
09-Sep-2020 10:51:07.698,-0.0508,-0.0650,-0.8514, 0.9144,-0.6450,-1.6861,-0.0215, 0.1255, 0.1313
09-Sep-2020 10:51:07.708,-0.0318,-0.1182,-0.9002, 1.0391,-0.4761,-1.5176,-0.0261, 0.1351, 0.1148
09-Sep-2020 10:51:07.718,-0.0198,-0.1817,-0.9149, 1.0926,-0.4508,-1.3720,-0.0289, 0.1458, 0.0999
09-Sep-2020 10:51:07.728,-0.0247,-0.1912,-0.9158, 0.9910,-0.5491,-1.3560,-0.0314, 0.1570, 0.0864
09-Sep-2020 10:51:07.738,-0.0436,-0.1809,-0.9345, 0.8449,-0.7245,-1.4499,-0.0348, 0.1673, 0.0731
09-Sep-2020 10:51:07.748,-0.0307,-0.1861,-0.9296, 0.7378,-0.8505,-1.5457,-0.0395, 0.1764, 0.0588
09-Sep-2020 10:51:07.757, 0.0199,-0.2033,-0.9113, 0.5796,-0.9456,-1.5230,-0.0452, 0.1843, 0.0437
09-Sep-2020 10:51:07.768, 0.0456,-0.1962,-0.9054, 0.4559,-1.0276,-1.3815,-0.0519, 0.1909, 0.0287
09-Sep-2020 10:51:07.777,-0.0335,-0.1739,-0.9411, 0.3677,-1.0761,-1.2167,-0.0595, 0.1962, 0.0151
09-Sep-2020 10:51:07.787,-0.1619,-0.1312,-1.0111, 0.3418,-1.0133,-1.1652,-0.0677, 0.2007, 0.0030
09-Sep-2020 10:51:07.797,-0.2234,-0.1206,-1.0518, 0.3535,-0.8265,-1.2340,-0.0754, 0.2050,-0.0086
09-Sep-2020 10:51:07.807,-0.1863,-0.1407,-1.0145, 0.2613,-0.5985,-1.2990,-0.0811, 0.2094,-0.0207
09-Sep-2020 10:51:07.817,-0.1107,-0.1631,-0.9331, 0.0125,-0.3671,-1.2673,-0.0844, 0.2130,-0.0335
09-Sep-2020 10:51:07.827,-0.0765,-0.1586,-0.8798,-0.3586,-0.1637,-1.1694,-0.0854, 0.2141,-0.0463
09-Sep-2020 10:51:07.837,-0.0820,-0.1183,-0.9500,-0.8332,-0.2438,-1.0942,-0.0846, 0.2115,-0.0584
09-Sep-2020 10:51:07.847,-0.1316,-0.0062,-1.1026,-1.2796,-0.5410,-1.1179,-0.0848, 0.2042,-0.0702
09-Sep-2020 10:51:07.857,-0.1868, 0.1213,-1.3000,-1.4675,-0.8459,-1.2125,-0.0877, 0.1927,-0.0826
09-Sep-2020 10:51:07.867,-0.2442, 0.2655,-1.4711,-1.3177,-1.0327,-1.3685,-0.0936, 0.1794,-0.0961
09-Sep-2020 10:51:07.877,-0.2584, 0.3268,-1.5419,-0.8804,-1.0586,-1.4902,-0.1012, 0.1679,-0.1110
09-Sep-2020 10:51:07.887,-0.2830, 0.3475,-1.5128,-0.3307,-1.0101,-1.5635,-0.1091, 0.1609,-0.1268
09-Sep-2020 10:51:07.897,-0.2554, 0.2696,-1.3985, 0.1426,-0.9004,-1.5578,-0.1166, 0.1593,-0.1427
09-Sep-2020 10:51:07.907,-0.2173, 0.1813,-1.2107, 0.3112,-0.8073,-1.5167,-0.1232, 0.1624,-0.1580
09-Sep-2020 10:51:07.917,-0.2323, 0.0988,-1.0414, 0.1355,-0.7746,-1.5392,-0.1288, 0.1672,-0.1728
09-Sep-2020 10:51:07.927,-0.2780, 0.0509,-0.9358,-0.2497,-0.7799,-1.6665,-0.1340, 0.1704,-0.1880
09-Sep-2020 10:51:07.937,-0.3281, 0.0399,-0.8890,-0.6604,-0.7937,-1.8572,-0.1389, 0.1702,-0.2050
09-Sep-2020 10:51:07.946,-0.3442, 0.0602,-0.8773,-1.0133,-0.8038,-2.0465,-0.1436, 0.1663,-0.2244
09-Sep-2020 10:51:07.957,-0.3297, 0.1012,-0.8732,-1.2949,-0.7919,-2.1370,-0.1480, 0.1594,-0.2462
09-Sep-2020 10:51:07.967,-0.3134, 0.1537,-0.8927,-1.4605,-0.7339,-2.1176,-0.1523, 0.1499,-0.2693
09-Sep-2020 10:51:07.977,-0.3210, 0.2140,-0.9354,-1.5021,-0.6249,-2.0429,-0.1563, 0.1389,-0.2924
09-Sep-2020 10:51:07.987,-0.3720, 0.2704,-0.9794,-1.4150,-0.4404,-2.0217,-0.1595, 0.1274,-0.3150
09-Sep-2020 10:51:07.997,-0.4026, 0.2847,-0.9922,-1.2288,-0.1694,-2.0783,-0.1611, 0.1168,-0.3372
09-Sep-2020 10:51:08.006,-0.4072, 0.2691,-0.9882,-1.0128, 0.0397,-2.1637,-0.1604, 0.1081,-0.3597
09-Sep-2020 10:51:08.016,-0.3745, 0.2455,-0.9528,-0.8156, 0.1175,-2.2251,-0.1577, 0.1016,-0.3826
09-Sep-2020 10:51:08.026,-0.3248, 0.2218,-0.8687,-0.7159, 0.0652,-2.2319,-0.1543, 0.0969,-0.4057
09-Sep-2020 10:51:08.036,-0.2790, 0.1938,-0.8194,-0.7111,-0.1691,-2.1749,-0.1516, 0.0932,-0.4288
09-Sep-2020 10:51:08.046,-0.2663, 0.1834,-0.8004,-0.7339,-0.5536,-2.0376,-0.1513, 0.0895,-0.4512
09-Sep-2020 10:51:08.056,-0.3089, 0.1921,-0.7888,-0.7115,-0.9450,-1.9259,-0.1551, 0.0854,-0.4724
09-Sep-2020 10:51:08.066,-0.3220, 0.2044,-0.7352,-0.6889,-0.9918,-1.9057,-0.1625, 0.0814,-0.4925
09-Sep-2020 10:51:08.076,-0.3398, 0.2209,-0.6991,-0.7449,-1.0288,-1.9483,-0.1709, 0.0778,-0.5123
