Timestamp,accelX,accelY,accelZ,gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads)
09-Sep-2020 11:19:01.861,-0.0197,-0.5470,-0.8696,-0.0939, 0.1559,-0.0573,-0.0191, 0.5945,-0.7337
09-Sep-2020 11:19:01.863,-0.0180,-0.5472,-0.8779,-0.0582, 0.1388,-0.0771,-0.0191, 0.5945,-0.7337
09-Sep-2020 11:19:01.873,-0.0109,-0.5480,-0.8761,-0.0002, 0.1009,-0.0834,-0.0174, 0.5941,-0.7345
09-Sep-2020 11:19:01.883,-0.0058,-0.5533,-0.8623, 0.0553, 0.0473,-0.0803,-0.0160, 0.5941,-0.7354
09-Sep-2020 11:19:01.893,-0.0128,-0.5577,-0.8447, 0.0866, 0.0057,-0.0594,-0.0151, 0.5947,-0.7362
09-Sep-2020 11:19:01.903,-0.0277,-0.5597,-0.8282, 0.1054,-0.0084,-0.0406,-0.0147, 0.5956,-0.7368
09-Sep-2020 11:19:01.913,-0.0390,-0.5653,-0.8185, 0.0933, 0.0147,-0.0237,-0.0146, 0.5966,-0.7372
09-Sep-2020 11:19:01.923,-0.0362,-0.5650,-0.8168, 0.0752, 0.0325,-0.0038,-0.0143, 0.5976,-0.7374
09-Sep-2020 11:19:01.933,-0.0249,-0.5576,-0.8186, 0.0506, 0.0451, 0.0168,-0.0140, 0.5983,-0.7373
09-Sep-2020 11:19:01.942,-0.0245,-0.5522,-0.8212, 0.0438, 0.0510, 0.0232,-0.0138, 0.5988,-0.7370
09-Sep-2020 11:19:01.953,-0.0239,-0.5504,-0.8161, 0.0353, 0.0440, 0.0178,-0.0135, 0.5992,-0.7367
09-Sep-2020 11:19:01.962,-0.0192,-0.5491,-0.8110, 0.0191, 0.0336, 0.0056,-0.0132, 0.5995,-0.7364
09-Sep-2020 11:19:01.973,-0.0160,-0.5489,-0.8093, 0.0128, 0.0461, 0.0031,-0.0129, 0.5997,-0.7362
09-Sep-2020 11:19:01.982,-0.0207,-0.5469,-0.8064, 0.0072, 0.0471,-0.0024,-0.0126, 0.5998,-0.7361
09-Sep-2020 11:19:01.992,-0.0227,-0.5486,-0.8030,-0.0090, 0.0402,-0.0096,-0.0122, 0.5999,-0.7360
09-Sep-2020 11:19:02.002,-0.0236,-0.5535,-0.8025,-0.0335, 0.0434,-0.0059,-0.0118, 0.5999,-0.7360
09-Sep-2020 11:19:02.012,-0.0288,-0.5569,-0.8031,-0.0515, 0.0722,-0.0039,-0.0114, 0.5996,-0.7360
09-Sep-2020 11:19:02.023,-0.0310,-0.5589,-0.8154,-0.0655, 0.0883, 0.0021,-0.0108, 0.5991,-0.7359
09-Sep-2020 11:19:02.032,-0.0267,-0.5585,-0.8304,-0.0621, 0.0915,-0.0033,-0.0100, 0.5985,-0.7358
09-Sep-2020 11:19:02.042,-0.0167,-0.5552,-0.8366,-0.0499, 0.0734,-0.0033,-0.0092, 0.5979,-0.7358
09-Sep-2020 11:19:02.052,-0.0086,-0.5496,-0.8329,-0.0396, 0.0492,-0.0060,-0.0085, 0.5974,-0.7357
09-Sep-2020 11:19:02.062,-0.0070,-0.5483,-0.8271,-0.0337, 0.0278,-0.0117,-0.0081, 0.5971,-0.7357
09-Sep-2020 11:19:02.072,-0.0063,-0.5524,-0.8150,-0.0445, 0.0160,-0.0179,-0.0078, 0.5967,-0.7357
09-Sep-2020 11:19:02.082,-0.0079,-0.5551,-0.8071,-0.0637, 0.0091,-0.0280,-0.0076, 0.5963,-0.7358
09-Sep-2020 11:19:02.092,-0.0093,-0.5527,-0.8058,-0.0877, 0.0277,-0.0369,-0.0073, 0.5957,-0.7361
09-Sep-2020 11:19:02.102,-0.0097,-0.5494,-0.8120,-0.1059, 0.0535,-0.0476,-0.0069, 0.5949,-0.7364
09-Sep-2020 11:19:02.112,-0.0142,-0.5485,-0.8265,-0.1132, 0.0776,-0.0628,-0.0061, 0.5939,-0.7369
09-Sep-2020 11:19:02.122,-0.0089,-0.5516,-0.8409,-0.1113, 0.0834,-0.0595,-0.0051, 0.5928,-0.7375
09-Sep-2020 11:19:02.132, 0.0047,-0.5551,-0.8491,-0.0961, 0.0643,-0.0469,-0.0039, 0.5917,-0.7382
09-Sep-2020 11:19:02.142, 0.0101,-0.5514,-0.8438,-0.0763, 0.0367,-0.0351,-0.0030, 0.5908,-0.7386
09-Sep-2020 11:19:02.152, 0.0112,-0.5493,-0.8289,-0.0688, 0.0005,-0.0317,-0.0025, 0.5901,-0.7390
09-Sep-2020 11:19:02.161, 0.0116,-0.5581,-0.8089,-0.0862,-0.0101,-0.0293,-0.0023, 0.5894,-0.7393
09-Sep-2020 11:19:02.172, 0.0099,-0.5573,-0.8008,-0.1243,-0.0123,-0.0068,-0.0023, 0.5886,-0.7395
09-Sep-2020 11:19:02.182, 0.0091,-0.5466,-0.8107,-0.1563,-0.0149, 0.0117,-0.0024, 0.5874,-0.7395
09-Sep-2020 11:19:02.192, 0.0004,-0.5414,-0.8345,-0.1724, 0.0015, 0.0118,-0.0027, 0.5859,-0.7393
