Timestamp,accelX,accelY,accelZ,gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads)
09-Sep-2020 11:04:41.442,-0.3713,-0.1829,-0.8454,-1.2355, 0.7211,-0.4371,-0.1531, 0.0576,-1.2580
09-Sep-2020 11:04:41.445,-0.3622,-0.0951,-0.9707,-1.2155, 1.0667,-0.4768,-0.1531, 0.0576,-1.2580
09-Sep-2020 11:04:41.455,-0.3363,-0.0053,-1.0960,-1.0616, 1.1038,-0.6535,-0.1423, 0.0465,-1.2644
09-Sep-2020 11:04:41.465,-0.2976, 0.0321,-1.1705,-0.7989, 0.9672,-0.8811,-0.1312, 0.0370,-1.2722
09-Sep-2020 11:04:41.475,-0.2441, 0.0110,-1.1776,-0.4931, 0.7553,-1.0847,-0.1213, 0.0303,-1.2818
09-Sep-2020 11:04:41.485,-0.2078,-0.0176,-1.1507,-0.1948, 0.4074,-1.1534,-0.1136, 0.0267,-1.2928
09-Sep-2020 11:04:41.495,-0.2149,-0.0222,-1.0771, 0.0347, 0.0865,-1.0747,-0.1092, 0.0260,-1.3042
09-Sep-2020 11:04:41.505,-0.2550,-0.0120,-1.0374, 0.1896,-0.0925,-0.9679,-0.1079, 0.0275,-1.3146
09-Sep-2020 11:04:41.515,-0.2879, 0.0075,-1.0225, 0.2862,-0.1491,-1.0008,-0.1085, 0.0304,-1.3240
09-Sep-2020 11:04:41.525,-0.2783,-0.0025,-1.0337, 0.3600,-0.0679,-1.1741,-0.1096, 0.0343,-1.3335
09-Sep-2020 11:04:41.535,-0.2235,-0.0065,-1.0147, 0.4034,-0.1579,-1.3980,-0.1100, 0.0392,-1.3446
09-Sep-2020 11:04:41.544,-0.1791, 0.0058,-0.8991, 0.3183,-0.3094,-1.5595,-0.1111, 0.0446,-1.3579
09-Sep-2020 11:04:41.554,-0.1731,-0.0512,-0.8019, 0.1159,-0.3409,-1.5515,-0.1134, 0.0495,-1.3727
09-Sep-2020 11:04:41.564,-0.1851,-0.1136,-0.7109,-0.1368,-0.1175,-1.4080,-0.1159, 0.0523,-1.3878
09-Sep-2020 11:04:41.574,-0.2103,-0.1186,-0.6951,-0.3892, 0.1946,-1.2682,-0.1163, 0.0526,-1.4017
09-Sep-2020 11:04:41.584,-0.2099,-0.0822,-0.7645,-0.6043, 0.3414,-1.2385,-0.1138, 0.0503,-1.4146
09-Sep-2020 11:04:41.594,-0.1811,-0.0331,-0.8287,-0.7467, 0.3052,-1.3109,-0.1099, 0.0458,-1.4275
09-Sep-2020 11:04:41.604,-0.1256,-0.0002,-0.8475,-0.8248, 0.2706,-1.3825,-0.1063, 0.0398,-1.4411
09-Sep-2020 11:04:41.614,-0.1061, 0.0096,-0.8664,-0.8344, 0.2769,-1.3449,-0.1031, 0.0332,-1.4554
09-Sep-2020 11:04:41.624,-0.0748,-0.0342,-0.9216,-0.7386, 0.3662,-1.2561,-0.0998, 0.0264,-1.4694
09-Sep-2020 11:04:41.634,-0.0445,-0.0757,-0.9585,-0.5838, 0.3866,-1.1501,-0.0960, 0.0203,-1.4824
09-Sep-2020 11:04:41.644,-0.0306,-0.0967,-0.9591,-0.4553, 0.3994,-1.0031,-0.0920, 0.0156,-1.4942
09-Sep-2020 11:04:41.654,-0.0508,-0.0961,-0.9378,-0.3588, 0.5376,-0.8454,-0.0878, 0.0120,-1.5043
09-Sep-2020 11:04:41.664,-0.0821,-0.0424,-0.9584,-0.2637, 0.7451,-0.7702,-0.0823, 0.0092,-1.5129
09-Sep-2020 11:04:41.674,-0.0892, 0.0134,-1.0001,-0.1348, 0.8929,-0.7960,-0.0748, 0.0073,-1.5207
09-Sep-2020 11:04:41.684,-0.0623, 0.0184,-1.0147, 0.0332, 1.0042,-0.8414,-0.0660, 0.0066,-1.5286
09-Sep-2020 11:04:41.694,-0.0171, 0.0270,-0.9850, 0.1967, 1.1943,-0.8739,-0.0559, 0.0074,-1.5367
09-Sep-2020 11:04:41.703, 0.0556, 0.0113,-0.9749, 0.2815, 1.3839,-0.8872,-0.0439, 0.0098,-1.5452
09-Sep-2020 11:04:41.714, 0.0444, 0.0270,-0.9193, 0.2728, 1.5797,-0.9582,-0.0301, 0.0129,-1.5538
09-Sep-2020 11:04:41.723, 0.0151, 0.0115,-0.8432, 0.1640, 1.8819,-1.0631,-0.0142, 0.0158,-1.5631
09-Sep-2020 11:04:41.733, 0.0163,-0.0496,-0.8174,-0.0653, 2.1869,-1.0877, 0.0047, 0.0174,-1.5735
09-Sep-2020 11:04:41.743, 0.0460,-0.0442,-0.8198,-0.3784, 2.4546,-1.0424, 0.0266, 0.0166,-1.5841
09-Sep-2020 11:04:41.753, 0.1093, 0.0335,-0.8910,-0.7744, 2.4093,-0.9819, 0.0509, 0.0124,-1.5942
09-Sep-2020 11:04:41.763, 0.1655, 0.1146,-0.9700,-1.0846, 2.1484,-0.9514, 0.0748, 0.0042,-1.6033
09-Sep-2020 11:04:41.773, 0.1898, 0.1806,-1.0173,-1.2620, 1.9349,-0.9599, 0.0962,-0.0072,-1.6117
09-Sep-2020 11:04:41.783, 0.1915, 0.2592,-1.0452,-1.3041, 1.8687,-1.0115, 0.1155,-0.0206,-1.6198
09-Sep-2020 11:04:41.793, 0.2074, 0.2966,-1.0674,-1.2771, 1.9502,-1.1046, 0.1339,-0.0347,-1.6280
09-Sep-2020 11:04:41.803, 0.2849, 0.2554,-1.1996,-1.1881, 2.0365,-1.2181, 0.1530,-0.0487,-1.6370
09-Sep-2020 11:04:41.813, 0.3774, 0.2202,-1.3005,-1.0360, 1.7446,-1.3201, 0.1723,-0.0623,-1.6469
09-Sep-2020 11:04:41.823, 0.4002, 0.2062,-1.2807,-0.6863, 1.5145,-1.4119, 0.1890,-0.0746,-1.6579
09-Sep-2020 11:04:41.833, 0.4249, 0.1665,-1.2300,-0.3886, 1.2395,-1.4873, 0.2030,-0.0840,-1.6702
09-Sep-2020 11:04:41.843, 0.4045, 0.1228,-1.1183,-0.2056, 1.0267,-1.5713, 0.2142,-0.0909,-1.6838
09-Sep-2020 11:04:41.854, 0.3453, 0.0375,-1.0225,-0.1928, 0.7700,-1.6740, 0.2230,-0.0964,-1.6985
09-Sep-2020 11:04:41.863, 0.2643,-0.0711,-0.9848,-0.2855, 0.5556,-1.8592, 0.2291,-0.1020,-1.7143
09-Sep-2020 11:04:41.873, 0.2669,-0.1033,-0.9968,-0.3763, 0.3290,-2.1413, 0.2327,-0.1090,-1.7315
09-Sep-2020 11:04:41.883, 0.3698, 0.0224,-0.9798,-0.4897, 0.0937,-2.3028, 0.2337,-0.1175,-1.7511
09-Sep-2020 11:04:41.893, 0.4437, 0.1145,-0.9806,-0.6142,-0.1377,-2.1528, 0.2321,-0.1275,-1.7719
09-Sep-2020 11:04:41.903, 0.4629, 0.0978,-0.9804,-0.7134,-0.3268,-1.7228, 0.2282,-0.1382,-1.7911
09-Sep-2020 11:04:41.912, 0.4349, 0.0225,-0.9703,-0.7249,-0.4106,-1.2057, 0.2228,-0.1488,-1.8060
09-Sep-2020 11:04:41.922, 0.3690,-0.0462,-0.9600,-0.6125,-0.3166,-0.7979, 0.2172,-0.1584,-1.8158
09-Sep-2020 11:04:41.933, 0.3091,-0.0624,-0.9681,-0.4222,-0.0895,-0.5649, 0.2131,-0.1659,-1.8221
09-Sep-2020 11:04:41.943, 0.2689,-0.0307,-0.9871,-0.2309, 0.1604,-0.4508, 0.2114,-0.1712,-1.8264
09-Sep-2020 11:04:41.952, 0.2020, 0.0106,-1.0226,-0.0736, 0.3814,-0.3898, 0.2123,-0.1744,-1.8299
09-Sep-2020 11:04:41.962, 0.1258, 0.0710,-1.0675, 0.0732, 0.6416,-0.3473, 0.2155,-0.1759,-1.8332
09-Sep-2020 11:04:41.972, 0.0642, 0.1339,-1.1048, 0.2002, 0.7867,-0.3033, 0.2212,-0.1759,-1.8363
09-Sep-2020 11:04:41.982, 0.0020, 0.1459,-1.1168, 0.2769, 0.7112,-0.3466, 0.2282,-0.1746,-1.8394
09-Sep-2020 11:04:41.992,-0.0180, 0.1387,-1.1057, 0.3087, 0.5465,-0.4886, 0.2346,-0.1727,-1.8431
09-Sep-2020 11:04:42.002, 0.0222, 0.1198,-1.1004, 0.2704, 0.3127,-0.6281, 0.2390,-0.1708,-1.8482
09-Sep-2020 11:04:42.012, 0.0943, 0.0707,-1.1164, 0.1524,-0.0501,-0.7379, 0.2409,-0.1697,-1.8546
09-Sep-2020 11:04:42.022, 0.1287, 0.0082,-1.1552, 0.0007,-0.3819,-0.8310, 0.2391,-0.1699,-1.8619
09-Sep-2020 11:04:42.032, 0.0570,-0.0487,-1.1735,-0.1018,-0.4052,-1.0186, 0.2341,-0.1718,-1.8700
09-Sep-2020 11:04:42.042, 0.0357,-0.0158,-1.1700,-0.1155,-0.2692,-1.3226, 0.2285,-0.1750,-1.8797
09-Sep-2020 11:04:42.052, 0.0457, 0.0682,-1.1440,-0.0704,-0.1948,-1.5726, 0.2235,-0.1790,-1.8923
09-Sep-2020 11:04:42.062, 0.0458, 0.1056,-1.1026,-0.0020,-0.1486,-1.6750, 0.2188,-0.1830,-1.9074
09-Sep-2020 11:04:42.072, 0.0274, 0.0982,-1.0945, 0.0557,-0.0394,-1.6872, 0.2143,-0.1866,-1.9238
09-Sep-2020 11:04:42.082, 0.0074, 0.0760,-1.1433, 0.1329, 0.1937,-1.6672, 0.2109,-0.1895,-1.9405
09-Sep-2020 11:04:42.092, 0.0087, 0.0694,-1.1934, 0.2761, 0.5947,-1.6709, 0.2097,-0.1916,-1.9572
09-Sep-2020 11:04:42.102, 0.0206, 0.1199,-1.2071, 0.5407, 1.1890,-1.7909, 0.2125,-0.1923,-1.9743
09-Sep-2020 11:04:42.112, 0.0359, 0.1711,-1.2502, 0.9033, 1.7166,-1.9675, 0.2207,-0.1907,-1.9931
09-Sep-2020 11:04:42.121, 0.0874, 0.1940,-1.2390, 1.2705, 2.0533,-2.1560, 0.2336,-0.1863,-2.0145
09-Sep-2020 11:04:42.132, 0.1917, 0.1736,-1.2173, 1.5482, 2.3101,-2.3592, 0.2496,-0.1792,-2.0386
09-Sep-2020 11:04:42.142, 0.2886, 0.1508,-1.2294, 1.6919, 2.3029,-2.5316, 0.2677,-0.1703,-2.0655
09-Sep-2020 11:04:42.152, 0.3149, 0.1574,-1.2035, 1.7172, 2.0623,-2.6213, 0.2857,-0.1610,-2.0945
09-Sep-2020 11:04:42.162, 0.2919, 0.1796,-1.1474, 1.6455, 1.7068,-2.6716, 0.3013,-0.1522,-2.1246
